country_code3,country_name,region,sub_region,intermediate_region,indicator_code,indicator_name,year,gdp_per_capita,gdp_variation
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1960,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1961,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1962,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1963,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1964,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1965,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1966,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1967,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1968,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1969,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1970,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1971,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1972,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1973,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1974,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1975,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1976,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1977,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1978,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1979,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1980,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1981,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1982,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1983,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1984,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1985,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1986,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1987,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1988,0.0,0.0
AFG,AFGANISTAN,ASIA MERIDIONAL,SOUTHERN ASIA,,NY.GDP.PCAP.CD,PIB PER CAPITA (US$ A PRECIOS ACTUALES),1989,0.0,0.0
